DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.05.19,0:00:00,1.23384,1.23648,1.23268,1.23507,10070,0,0
2022.05.19,4:00:00,1.23507,1.23949,1.23383,1.23856,15319,0,1
2022.05.19,8:00:00,1.23856,1.24074,1.23381,1.23899,27318,0,0
2022.05.19,12:00:00,1.23895,1.24378,1.23697,1.24265,28509,0,0
2022.05.19,16:00:00,1.24265,1.25249,1.24265,1.25007,41451,0,0
2022.05.19,20:00:00,1.25011,1.25125,1.24583,1.24583,23631,0,0
2022.05.20,0:00:00,1.24594,1.24777,1.24502,1.24641,10329,0,0
2022.05.20,4:00:00,1.24641,1.24692,1.24371,1.24533,22524,0,0
2022.05.20,8:00:00,1.24533,1.24966,1.24479,1.24847,25476,0,0
2022.05.20,12:00:00,1.24847,1.24909,1.24617,1.24763,18620,0,0
2022.05.20,16:00:00,1.24763,1.25002,1.24524,1.24727,28797,0,0
2022.05.20,20:00:00,1.24727,1.24968,1.24533,1.24907,19505,0,0
2022.05.23,0:00:00,1.24656,1.25293,1.24629,1.25255,8199,0,0
2022.05.23,4:00:00,1.25255,1.25535,1.25214,1.25463,17957,0,0
2022.05.23,8:00:00,1.25462,1.25757,1.25408,1.25718,24861,0,0
2022.05.23,12:00:00,1.25719,1.26009,1.25632,1.25683,21554,0,0
2022.05.23,16:00:00,1.25678,1.25936,1.25562,1.25682,24277,0,0
2022.05.23,20:00:00,1.25682,1.25881,1.25585,1.25783,11491,0,0
2022.05.24,0:00:00,1.25784,1.2587,1.25567,1.25586,7423,0,0
2022.05.24,4:00:00,1.25586,1.25688,1.25473,1.25607,13280,0,0
2022.05.24,8:00:00,1.25607,1.2599,1.24748,1.24867,24885,0,0
2022.05.24,12:00:00,1.24867,1.25224,1.24712,1.24909,20968,0,0
2022.05.24,16:00:00,1.24909,1.25546,1.24827,1.25344,33867,0,0
2022.05.24,20:00:00,1.25342,1.25437,1.25101,1.2529,17129,0,0
2022.05.25,0:00:00,1.25283,1.25481,1.25211,1.25268,9602,0,3
2022.05.25,4:00:00,1.2527,1.25426,1.2514,1.25378,20305,0,0
2022.05.25,8:00:00,1.25379,1.256,1.252,1.25227,24944,0,0
2022.05.25,12:00:00,1.25226,1.25235,1.24811,1.2501,23808,0,0
2022.05.25,16:00:00,1.2501,1.25583,1.24932,1.25312,26908,0,0
2022.05.25,20:00:00,1.25315,1.25906,1.25244,1.25722,22108,0,0
2022.05.26,0:00:00,1.25721,1.26125,1.25594,1.26055,7688,0,0
2022.05.26,4:00:00,1.26055,1.26089,1.25643,1.25685,23248,0,0
2022.05.26,8:00:00,1.25685,1.25975,1.25515,1.25648,23045,0,0
2022.05.26,12:00:00,1.25648,1.2621,1.25579,1.25655,24871,0,0
